"12741"|"-84,-180"|"-84"|"-180"|"1"|"2450"|"1"|"Anonymous Hijack lol"||"village"|"#3FEF1F"|"2016-01-06 22:56:55"|"2016-01-06 22:56:55"
"12742"|"-82,-180"|"-82"|"-180"|"1"|"2450"|"1"|"Anonymous Hijack lol"||"village"|"#3FEF1F"|"2016-01-06 22:56:55"|"2016-01-06 22:56:55"
"12743"|"-80,-180"|"-80"|"-180"|"1"|"2450"|"1"|"Anonymous Hijack lol"||"village"|"#3FEF1F"|"2016-01-06 22:56:55"|"2016-01-06 22:56:55"
"12744"|"-78,-180"|"-78"|"-180"|"1"|"2450"|"1"|"Anonymous Hijack lol"||"village"|"#3FEF1F"|"2016-01-06 22:56:55"|"2016-01-06 22:56:55"
"12745"|"-76,-180"|"-76"|"-180"|"1"|"2450"|"1"|"Anonymous Hijack lol"||"village"|"#3FEF1F"|"2016-01-06 22:56:55"|"2016-01-06 22:56:55"
"12746"|"-74,-180"|"-74"|"-180"|"1"|"2450"|"1"|"Anonymous Hijack lol"||"village"|"#3FEF1F"|"2016-01-06 22:56:55"|"2016-01-06 22:56:55"
"12747"|"-72,-180"|"-72"|"-180"|"1"|"2450"|"1"|"Anonymous Hijack lol"||"village"|"#3FEF1F"|"2016-01-06 22:56:55"|"2016-01-06 22:56:55"
"12748"|"-70,-180"|"-70"|"-180"|"1"|"2450"|"1"|"Anonymous Hijack lol"||"village"|"#3FEF1F"|"2016-01-06 22:56:55"|"2016-01-06 22:56:55"
"12749"|"-68,-180"|"-68"|"-180"|"1"|"2450"|"1"|"Anonymous Hijack lol"||"village"|"#3FEF1F"|"2016-01-06 22:56:55"|"2016-01-06 22:56:55"
"12750"|"-66,-180"|"-66"|"-180"|"1"|"2450"|"1"|"Anonymous Hijack lol"||"village"|"#3FEF1F"|"2016-01-06 22:56:55"|"2016-01-06 22:56:55"
"12751"|"-64,-180"|"-64"|"-180"|"1"|"2450"|"1"|"Anonymous Hijack lol"||"village"|"#3FEF1F"|"2016-01-06 22:56:55"|"2016-01-06 22:56:55"
"12752"|"-62,-180"|"-62"|"-180"|"1"|"2450"|"1"|"Anonymous Hijack lol"||"village"|"#3FEF1F"|"2016-01-06 22:56:55"|"2016-01-06 22:56:55"
"12753"|"-60,-180"|"-60"|"-180"|"1"|"2450"|"1"|"Anonymous Hijack lol"||"village"|"#3FEF1F"|"2016-01-06 22:56:55"|"2016-01-06 22:56:55"
"12754"|"-58,-180"|"-58"|"-180"|"1"|"2450"|"1"|"Anonymous Hijack lol"||"village"|"#3FEF1F"|"2016-01-06 22:56:55"|"2016-01-06 22:56:55"
"12755"|"-56,-180"|"-56"|"-180"|"1"|"2450"|"1"|"Anonymous Hijack lol"||"village"|"#3FEF1F"|"2016-01-06 22:56:55"|"2016-01-06 22:56:55"
"12756"|"-54,-180"|"-54"|"-180"|"1"|"2450"|"1"|"Anonymous Hijack lol"||"village"|"#3FEF1F"|"2016-01-06 22:56:55"|"2016-01-06 22:56:55"
"12757"|"-52,-180"|"-52"|"-180"|"1"|"2450"|"1"|"Anonymous Hijack lol"||"village"|"#3FEF1F"|"2016-01-06 22:56:55"|"2016-01-06 22:56:55"
"12758"|"-50,-180"|"-50"|"-180"|"1"|"2450"|"1"|"Anonymous Hijack lol"||"village"|"#3FEF1F"|"2016-01-06 22:56:55"|"2016-01-06 22:56:55"
"12759"|"-48,-180"|"-48"|"-180"|"1"|"2450"|"1"|"Anonymous Hijack lol"||"village"|"#3FEF1F"|"2016-01-06 22:56:55"|"2016-01-06 22:56:55"
"12760"|"-46,-180"|"-46"|"-180"|"1"|"2450"|"1"|"Anonymous Hijack lol"||"village"|"#3FEF1F"|"2016-01-06 22:56:55"|"2016-01-06 22:56:55"
"12761"|"-44,-180"|"-44"|"-180"|"1"|"2450"|"1"|"Anonymous Hijack lol"||"village"|"#3FEF1F"|"2016-01-06 22:56:55"|"2016-01-06 22:56:55"
